Date : 2025-05-02 21:19:45
Directory : /Users/puruwo/dev/flutter/kakeibo_v3
Total : 226 files,  12461 codes, 1858 comments, 2209 blanks, all 16528 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |        163 |     10,798 |      1,521 |      1,886 |     14,205 |
| C++             |         16 |        538 |        121 |        182 |        841 |
| XML             |         23 |        496 |         48 |         22 |        566 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |        101 |          5 |         23 |        129 |
| YAML            |          4 |         98 |        136 |         35 |        269 |
| Ruby            |          2 |         65 |          4 |         20 |         89 |
| Swift           |          6 |         58 |          7 |         20 |         85 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        226 |     12,461 |      1,858 |      2,209 |     16,528 |
| . (Files)                                                                                                                                                           |          5 |        108 |        136 |         42 |        286 |
| android                                                                                                                                                             |         12 |        168 |         51 |         34 |        253 |
| android (Files)                                                                                                                                                     |          3 |         53 |          0 |         12 |         65 |
| android/app                                                                                                                                                         |          8 |        110 |         51 |         21 |        182 |
| android/app (Files)                                                                                                                                                 |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                                                                                     |          7 |         59 |         46 |          9 |        114 |
| android/app/src/debug                                                                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                                                                |          5 |         53 |         38 |          7 |         98 |
| android/app/src/main (Files)                                                                                                                                        |          1 |         27 |          6 |          1 |         34 |
| android/app/src/main/res                                                                                                                                            |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                                   |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                               |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                             |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                              |         13 |         33 |          0 |         10 |         43 |
| assets/images                                                                                                                                                       |         13 |         33 |          0 |         10 |         43 |
| ios                                                                                                                                                                 |          9 |        261 |          7 |         23 |        291 |
| ios (Files)                                                                                                                                                         |          1 |         32 |          3 |         10 |         45 |
| ios/Runner                                                                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                                                                  |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                                                                          |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                       |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                                     |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                               |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                                                                     |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                                                                 |        158 |     10,566 |      1,459 |      1,832 |     13,857 |
| lib (Files)                                                                                                                                                         |          2 |        107 |          3 |         11 |        121 |
| lib/application                                                                                                                                                     |          7 |        335 |         73 |        115 |        523 |
| lib/application/calendar                                                                                                                                            |          1 |         97 |         24 |         29 |        150 |
| lib/application/category                                                                                                                                            |          2 |         53 |         11 |         20 |         84 |
| lib/application/expense                                                                                                                                             |          1 |         42 |          9 |         13 |         64 |
| lib/application/expense_history                                                                                                                                     |          1 |         67 |         16 |         29 |        112 |
| lib/application/monthly_all_category_card                                                                                                                           |          1 |         45 |          7 |         13 |         65 |
| lib/application/monthly_category_card                                                                                                                               |          1 |         31 |          6 |         11 |         48 |
| lib/constant                                                                                                                                                        |          3 |         88 |          7 |         23 |        118 |
| lib/domain                                                                                                                                                          |         47 |      3,373 |        323 |        531 |      4,227 |
| lib/domain/core                                                                                                                                                     |         18 |      1,060 |        114 |        188 |      1,362 |
| lib/domain/core/all_category_accounting_entity                                                                                                                      |          4 |        177 |         24 |         42 |        243 |
| lib/domain/core/category_accounting_entity                                                                                                                          |          4 |        277 |         25 |         39 |        341 |
| lib/domain/core/category_entity                                                                                                                                     |          3 |        306 |         21 |         37 |        364 |
| lib/domain/core/daily_expense_entity                                                                                                                                |          4 |        166 |         25 |         39 |        230 |
| lib/domain/core/month_period_value                                                                                                                                  |          3 |        134 |         19 |         31 |        184 |
| lib/domain/db                                                                                                                                                       |         15 |        932 |         97 |        166 |      1,195 |
| lib/domain/db/aggregation_start_day_entity                                                                                                                          |          3 |        117 |         18 |         32 |        167 |
| lib/domain/db/expense                                                                                                                                               |          4 |        235 |         26 |         44 |        305 |
| lib/domain/db/expense_big_ctegory                                                                                                                                   |          4 |        289 |         27 |         45 |        361 |
| lib/domain/db/expense_small_category                                                                                                                                |          4 |        291 |         26 |         45 |        362 |
| lib/domain/ui_value                                                                                                                                                 |         14 |      1,381 |        112 |        177 |      1,670 |
| lib/domain/ui_value/calendar                                                                                                                                        |          2 |        240 |         16 |         26 |        282 |
| lib/domain/ui_value/category_card_value                                                                                                                             |          8 |        694 |         61 |         97 |        852 |
| lib/domain/ui_value/category_card_value/all_category_card_value                                                                                                     |          2 |        306 |         21 |         30 |        357 |
| lib/domain/ui_value/category_card_value/category_card_value                                                                                                         |          6 |        388 |         40 |         67 |        495 |
| lib/domain/ui_value/category_card_value/category_card_value (Files)                                                                                                 |          2 |        157 |         17 |         28 |        202 |
| lib/domain/ui_value/category_card_value/category_card_value/small_category_tile_entity                                                                              |          4 |        231 |         23 |         39 |        293 |
| lib/domain/ui_value/expense_history_tile_value                                                                                                                      |          4 |        447 |         35 |         54 |        536 |
| lib/domain/ui_value/expense_history_tile_value (Files)                                                                                                              |          2 |        151 |         18 |         27 |        196 |
| lib/domain/ui_value/expense_history_tile_value/expense_history_tile_value                                                                                           |          2 |        296 |         17 |         27 |        340 |
| lib/domain_service                                                                                                                                                  |          1 |         46 |         16 |         20 |         82 |
| lib/domain_service/month_period_service                                                                                                                             |          1 |         46 |         16 |         20 |         82 |
| lib/model                                                                                                                                                           |          6 |        537 |         93 |        100 |        730 |
| lib/model (Files)                                                                                                                                                   |          5 |        494 |         92 |         89 |        675 |
| lib/model/assets_conecter                                                                                                                                           |          1 |         43 |          1 |         11 |         55 |
| lib/repository                                                                                                                                                      |         11 |        529 |         57 |        108 |        694 |
| lib/repository (Files)                                                                                                                                              |          8 |        312 |         34 |         68 |        414 |
| lib/repository/tbl003_record                                                                                                                                        |          3 |        217 |         23 |         40 |        280 |
| lib/util                                                                                                                                                            |          5 |        144 |         12 |         17 |        173 |
| lib/util (Files)                                                                                                                                                    |          3 |        113 |          9 |         10 |        132 |
| lib/util/extension                                                                                                                                                  |          2 |         31 |          3 |          7 |         41 |
| lib/view                                                                                                                                                            |         36 |      4,685 |        716 |        706 |      6,107 |
| lib/view (Files)                                                                                                                                                    |          2 |        139 |         14 |         25 |        178 |
| lib/view/component                                                                                                                                                  |          4 |         65 |          5 |         12 |         82 |
| lib/view/home                                                                                                                                                       |          7 |        779 |         76 |        106 |        961 |
| lib/view/home (Files)                                                                                                                                               |          3 |         77 |          5 |         15 |         97 |
| lib/view/home/calendar                                                                                                                                              |          2 |        347 |         36 |         50 |        433 |
| lib/view/home/expense_history                                                                                                                                       |          2 |        355 |         35 |         41 |        431 |
| lib/view/other_page                                                                                                                                                 |          6 |      1,789 |        347 |        226 |      2,362 |
| lib/view/register_page                                                                                                                                              |          9 |        642 |         96 |        137 |        875 |
| lib/view/register_page (Files)                                                                                                                                      |          2 |        167 |         26 |         47 |        240 |
| lib/view/register_page/category_area                                                                                                                                |          4 |        251 |         17 |         42 |        310 |
| lib/view/register_page/category_area (Files)                                                                                                                        |          1 |         98 |         14 |         18 |        130 |
| lib/view/register_page/category_area/icon_box                                                                                                                       |          3 |        153 |          3 |         24 |        180 |
| lib/view/register_page/input_molecule                                                                                                                               |          3 |        224 |         53 |         48 |        325 |
| lib/view/third_page                                                                                                                                                 |          8 |      1,271 |        178 |        200 |      1,649 |
| lib/view/third_page (Files)                                                                                                                                         |          4 |        649 |        115 |        143 |        907 |
| lib/view/third_page/tile                                                                                                                                            |          4 |        622 |         63 |         57 |        742 |
| lib/view_model                                                                                                                                                      |         40 |        722 |        159 |        201 |      1,082 |
| lib/view_model (Files)                                                                                                                                              |          2 |         76 |         11 |         14 |        101 |
| lib/view_model/middle_provider                                                                                                                                      |          3 |         30 |          7 |         12 |         49 |
| lib/view_model/middle_provider/resolved_all_category_tile_entity_provider                                                                                           |          3 |         30 |          7 |         12 |         49 |
| lib/view_model/state                                                                                                                                                |         35 |        616 |        141 |        175 |        932 |
| lib/view_model/state (Files)                                                                                                                                        |          6 |         81 |         31 |         28 |        140 |
| lib/view_model/state/calendar_page                                                                                                                                  |          3 |         44 |         12 |         12 |         68 |
