問題の種類,該当ファイルパス,具体的な問題内容,推奨対応
重複定義,lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,インラインTextStyle(fontSize:20 bold Colors.white)がMonthlyPageStyles.fixedCostSummaryHeaderTitleと完全重複。定数が存在するのにインラインで書かれている,MonthlyPageStyles.fixedCostSummaryHeaderTitle を使用する
重複定義,lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,インラインTextStyle(fontSize:22 bold Colors.white)がMonthlyPageStyles.fixedCostSummaryHeaderAmountと完全重複,MonthlyPageStyles.fixedCostSummaryHeaderAmount を使用する
重複定義,lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,インラインTextStyle(fontSize:16 Colors.white70)がMonthlyPageStyles.fixedCostSummaryConfirmedLabelと完全重複,MonthlyPageStyles.fixedCostSummaryConfirmedLabel を使用する
重複定義,lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,インラインTextStyle(fontSize:18 Colors.white)がMonthlyPageStyles.fixedCostSummaryRowAmountと完全重複(2箇所),MonthlyPageStyles.fixedCostSummaryRowAmount を使用する
重複定義,lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_summary_header.dart,インラインTextStyle(fontSize:16 Colors.white54)がMonthlyPageStyles.fixedCostSummaryUnconfirmedLabelと完全重複,MonthlyPageStyles.fixedCostSummaryUnconfirmedLabel を使用する
重複定義,"lib/view/year_page/yearly_balance_area/yearly_balance_bar_graph.dart, lib/view/year_page/bonus_plan_area/bonus_plan_bar_graph.dart, lib/view/monthly_page/monthly_fixed_cost/monthly_fixed_cost_page/fixed_cost_by_category_list_area.dart",TextStyle(color: MyColors.secondaryLabel fontSize: 16) が5箇所でインライン定義。AppTextStyles.listEmptyMessage / errorMessage と実質同一,AppTextStyles.listEmptyMessage または AppTextStyles.errorMessage を使用する
重複定義,lib/constant/styles/app_text_styles.dart,AppTextStyles.listEmptyMessage と AppTextStyles.errorMessage が全く同じ値(fontSize:16 w400 secondaryLabel noto_sans)で定義方法のみ異なる(GoogleFonts vs copyWith),2つを統合するか、errorMessageの色をMyColors.redに変更して意味的に分離する
重複定義,lib/constant/styles/app_text_styles.dart,"AppTextStyles.mainButtonText と AppTextStyles.secondaryButtonText が同一値(fontSize:14 w600 MyColors.label noto_sans)",統合して1つの定数にする
不統一,"lib/constant/styles/app_text_styles.dart, lib/constant/styles/monthly_page_styles.dart",fontFamilyの指定方法が混在: GoogleFonts.notoSans() / MyFontStyle.notoSans.copyWith() / TextStyle(fontFamily: 'noto_sans') の3パターンが同一プロジェクト内で使い分けられている,GoogleFonts.notoSans() または MyFontStyle.notoSans.copyWith() のどちらかに統一する
不統一,lib/constant/styles/monthly_page_styles.dart,"固定費関連スタイル(fixedCostSummaryHeaderTitle等)はfontFamily未指定(default)だが、同ファイル内の他スタイル(topCardPriceLabelなど)はsf_uiやnoto_sansを明示指定している",fontFamilyを明示的に指定するか、デフォルトで良い場合はその方針をコメントで明記する
不統一,lib/constant/styles/register_page_styles.dart,"一部スタイル(priceInput, dateButton等)はfontFamily未指定(default)だが、同ファイル内のinputExpenseTextはsf_ui、inputTextはnoto_sansを指定",金額表示はsf_ui、日本語テキストはnoto_sansに統一する
