ファイルパス,画面名（クラス名）,コンポーネント名（Widget名）,テキスト内容の種類,fontFamily,fontSize,fontWeight,color,定義方法,MyFontStyle使用,共通化の有無
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.pageHeaderText,見出し,noto_sans,18,w500,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.dialogTitle,見出し,noto_sans,18,w600,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.dialogLabel,ラベル,noto_sans,14,w300,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.dialogList,ラベル,noto_sans,18,w300,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.selectedLabelStyle,タブ,noto_sans,14,w600,MyColors.themeColor,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.unselectedLabelStyle,タブ,noto_sans,14,w300,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.mainButtonText,ボタン,noto_sans,14,w600,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.oneLineButtonText,ボタン,noto_sans,14,w400,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.oneLineButtonSubText,ボタン,noto_sans,14,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listEmptyMessage,エラー,noto_sans,16,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.errorMessage,エラー,noto_sans,16,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.secondaryButtonText,ボタン,noto_sans,14,w600,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.whiteButtonText,ボタン,noto_sans,17,w600,MyColors.white,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.cardSectionTitle,見出し,noto_sans,16,w600,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listTileSectionTitle,見出し,sf_ui,13,w500,MyColors.secondaryLabel,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listTilePrimaryTitle,ラベル,noto_sans,14,w500,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listTileSecondaryTitle,ラベル,noto_sans,11,w400,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listTilePriceLabel,金額,sf_ui,17,w500,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listTileUnconfirmedPriceLabel,金額,noto_sans,15,w500,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listCardTitleLabel,ラベル,noto_sans,14,w500,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listCardUnconfirmedPriceLabel,金額,noto_sans,14,w700,MyColors.label,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listCardSecondaryTitle,ラベル,noto_sans,12,w500,MyColors.secondaryLabel,MyFontStyle.notoSans.copyWith(),使用(notoSans),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listCardMinusLabel,金額,sf_ui,16,w600,MyColors.pink,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listCardPlusLabel,金額,sf_ui,16,w600,MyColors.mintBlue,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
lib/constant/styles/app_text_styles.dart,共通,AppTextStyles.listCardPriceLabel,金額,sf_ui,17,w600,MyColors.label,MyFontStyle.sfUi.copyWith(),使用(sfUi),共通化済み
