provider_name,provider_type,return_type,layer,family,auto_dispose,keep_alive,file_path,summary,dependencies
budgetRepositoryProvider,Provider,BudgetRepository,Repository,false,false,false,lib/domain/db/budget/budget_repository.dart,予算データ管理リポジトリ（DI用抽象インターフェース）,
expenseRepositoryProvider,Provider,ExpenseRepository,Repository,false,false,false,lib/domain/db/expense/expense_repository.dart,支出データ管理リポジトリ（DI用抽象インターフェース）,
incomeRepositoryProvider,Provider,IncomeRepository,Repository,false,false,false,lib/domain/db/income/income_repository.dart,収入データ管理リポジトリ（DI用抽象インターフェース）,
expensebigCategoryRepositoryProvider,Provider,ExpenseBigCategoryRepository,Repository,false,false,false,lib/domain/db/expense_big_ctegory/expense_big_category_repository.dart,支出大カテゴリーデータ管理,
expenseSmallCategoryRepositoryProvider,Provider,ExpenseSmallCategoryRepository,Repository,false,false,false,lib/domain/db/expense_small_category/expense_small_category_repository.dart,支出小カテゴリーデータ管理,
incomeBigCategoryRepositoryProvider,Provider,IncomeBigCategoryRepository,Repository,false,false,false,lib/domain/db/income_big_category/income_big_category_repository.dart,収入大カテゴリー管理,
incomeSmallCategoryRepositoryProvider,Provider,IncomeSmallCategoryRepository,Repository,false,false,false,lib/domain/db/income_small_category/income_small_category_repository.dart,収入小カテゴリー管理,
monthBasisRepositoryProvider,Provider,MonthBasisRepository,Repository,false,false,false,lib/domain/db/month_basis_entity/month_basis_repository.dart,月基準データ管理,
yearBasisRepositoryProvider,Provider,YearBasisRepository,Repository,false,false,false,lib/domain/db/year_basis_entity/year_basis_entity_repository.dart,年基準データ管理,
aggregationStartDayRepositoryProvider,Provider,AggregationStartDayRepository,Repository,false,false,false,lib/domain/db/aggregation_start_day_entity/aggregation_start_day_repository.dart,集計開始日管理,
aggregationStartMonthRepositoryProvider,Provider,AggregationStartMonthRepository,Repository,false,false,false,lib/domain/db/aggregation_start_month_entity/aggregation_start_month_repository.dart,集計開始月管理,
fixedCostRepositoryProvider,Provider,FixedCostRepository,Repository,false,false,false,lib/domain/db/fixed_cost/fixed_cost_repository.dart,固定費マスターデータ管理,
fixedCostExpenseRepositoryProvider,Provider,FixedCostExpenseRepository,Repository,false,false,false,lib/domain/db/fixed_cost_expense/fixed_cost_expense_repository.dart,固定費支出トランザクション管理,
fixedCostCategoryRepositoryProvider,Provider,FixedCostCategoryRepository,Repository,false,false,false,lib/domain/db/fixed_cost_category/fixed_cost_category_repository.dart,固定費カテゴリー管理,
batchHistoryRepositoryProvider,Provider,BatchHistoryRepository,Repository,false,false,false,lib/domain/db/batch_history/batch_history_repository.dart,バッチ処理履歴管理,
dailyExpenseRepositoryProvider,Provider,DailyExpenseRepository,Repository,false,false,false,lib/domain/core/daily_expense_entity/daily_expense_repository.dart,日次支出管理,
categoryAccountingRepositoryProvider,Provider,CategoryAccountingRepository,Repository,false,false,false,lib/domain/core/category_accounting_entity/category_accounting_repository.dart,カテゴリー別会計集計,
incomeCategoryAccountingRepositoryProvider,Provider,IncomeCategoryAccountingRepository,Repository,false,false,false,lib/domain/core/income_category_accounting_entity/income_category_accounting_repository.dart,収入カテゴリー別会計集計,
smallCategoryTileRepositoryProvider,Provider,SmallCategoryTileRepository,Repository,false,false,false,lib/domain/ui_value/category_card_value/category_card_value/small_category_tile_entity/small_category_tile_repository.dart,小カテゴリータイルUI値管理,
periodStatusServiceProvider,Provider,PeriodStatusService,Service,false,false,false,lib/domain_service/month_period_service/period_status_service.dart,期間の状態（過去/現在/未来）判定,
monthPeriodServiceProvider,Provider,MonthPeriodService,Service,false,false,false,lib/domain_service/month_period_service/month_period_service.dart,月の期間計算サービス,
monthIndexServiceProvider,Provider,MonthIndexService,Service,false,false,false,lib/domain_service/month_period_service/month_index_service.dart,月のインデックス計算,
